#Graph:        replica_100gr_replica_100
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000474
                               6                         0.000623
                               7                         0.000786
                               8                         0.000956
                               9                          0.00114
                              10                          0.00133
                              11                          0.00153
                              12                          0.00174
                              13                          0.00195
                              14                          0.00218
                              15                          0.00241
                              16                          0.00266
                              17                          0.00292
                              18                          0.00317
                              19                          0.00344
                              20                          0.00374
                              21                          0.00402
                              22                          0.00434
                              23                          0.00465
                              24                          0.00497
                              25                           0.0053
                              26                          0.00565
                              27                            0.006
                              28                          0.00636
                              29                          0.00673
                              30                          0.00712
                              31                          0.00751
                              32                          0.00791
                              33                          0.00832
                              34                          0.00874
                              35                          0.00919
                              36                          0.00964
                              37                           0.0101
                              38                           0.0106
                              39                            0.011
                              40                           0.0115
                              41                            0.012
                              42                           0.0125
                              43                           0.0131
                              44                           0.0136
                              45                           0.0141
                              46                           0.0147
                              47                           0.0153
                              48                           0.0158
                              49                           0.0164
                              50                            0.017
                              51                           0.0176
                              52                           0.0182
                              53                           0.0188
                              54                           0.0193
                              55                             0.02
                              56                           0.0206
                              57                           0.0212
                              58                           0.0218
                              59                           0.0225
                              60                           0.0231
