#Graph:            replica_4gr_replica_4
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                        -0.000186
                               6                        -0.000224
                               7                        -0.000223
                               8                        -0.000191
                               9                        -0.000132
                              10                        -5.32e-05
                              11                         4.56e-05
                              12                         0.000161
                              13                         0.000292
                              14                         0.000436
                              15                         0.000593
                              16                         0.000761
                              17                         0.000939
                              18                          0.00112
                              19                          0.00132
                              20                          0.00152
                              21                          0.00173
                              22                          0.00195
                              23                          0.00217
                              24                          0.00239
                              25                          0.00261
                              26                          0.00284
                              27                          0.00307
                              28                           0.0033
                              29                          0.00353
                              30                          0.00377
                              31                            0.004
                              32                          0.00423
                              33                          0.00446
                              34                          0.00469
                              35                          0.00492
                              36                          0.00515
                              37                          0.00537
                              38                           0.0056
                              39                          0.00582
                              40                          0.00603
                              41                          0.00624
                              42                          0.00645
                              43                          0.00667
                              44                          0.00687
                              45                          0.00706
                              46                          0.00725
                              47                          0.00745
                              48                          0.00764
                              49                          0.00782
                              50                          0.00801
                              51                          0.00818
                              52                          0.00834
                              53                          0.00851
                              54                          0.00866
                              55                          0.00882
                              56                          0.00898
                              57                          0.00914
                              58                          0.00928
                              59                          0.00943
                              60                          0.00956
