#Graph:          replica_94gr_replica_94
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000342
                               6                         0.000393
                               7                         0.000458
                               8                         0.000531
                               9                         0.000615
                              10                         0.000708
                              11                         0.000813
                              12                         0.000927
                              13                          0.00105
                              14                          0.00119
                              15                          0.00133
                              16                          0.00149
                              17                          0.00165
                              18                          0.00182
                              19                            0.002
                              20                           0.0022
                              21                          0.00239
                              22                          0.00261
                              23                          0.00283
                              24                          0.00306
                              25                          0.00329
                              26                          0.00354
                              27                          0.00379
                              28                          0.00404
                              29                          0.00431
                              30                          0.00458
                              31                          0.00486
                              32                          0.00515
                              33                          0.00544
                              34                          0.00575
                              35                          0.00606
                              36                          0.00638
                              37                          0.00669
                              38                          0.00703
                              39                          0.00737
                              40                           0.0077
                              41                          0.00805
                              42                          0.00841
                              43                          0.00878
                              44                          0.00914
                              45                           0.0095
                              46                          0.00988
                              47                           0.0103
                              48                           0.0107
                              49                           0.0111
                              50                           0.0115
                              51                           0.0119
                              52                           0.0122
                              53                           0.0127
                              54                           0.0131
                              55                           0.0135
                              56                           0.0139
                              57                           0.0144
                              58                           0.0148
                              59                           0.0153
                              60                           0.0157
